epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.72741,1.33674,3.33286,1.23247,0.01028,0.98333,0.19632,0.11145,1.05597,3.22933,1.03565,0.000423407,0.000423407,0.000423407
2,6.38694,1.36365,3.35571,1.26374,0.00929,0.85,0.25417,0.14988,1.04437,3.36774,1.12156,0.000881926,0.000881926,0.000881926
3,8.06322,1.80033,3.15944,1.71134,0.00853,0.85,0.14257,0.06853,1.4554,3.3806,1.30996,0.00132158,0.00132158,0.00132158
4,9.68745,1.62459,2.88481,1.48449,0.008,0.8,0.19695,0.09824,1.37559,3.45782,1.3695,0.00134412,0.00134412,0.00134412
5,11.3761,1.3461,2.79406,1.32714,0.00702,0.7,0.177,0.0942,1.36829,3.32958,1.38915,0.00131582,0.00131582,0.00131582
6,14.2941,1.26344,2.66611,1.24277,0.35122,0.18333,0.28165,0.18514,1.27292,2.89651,1.18749,0.00128753,0.00128753,0.00128753
7,15.9405,1.17824,2.4576,1.23019,0.12765,0.47346,0.17401,0.08576,1.27915,3.11814,1.25365,0.00125923,0.00125923,0.00125923
8,17.5808,1.173,2.29297,1.19294,0.25733,0.65,0.34745,0.24625,1.1872,2.67666,1.1656,0.00123094,0.00123094,0.00123094
9,19.1721,1.10149,2.24424,1.165,0.29533,0.63333,0.33815,0.22687,1.2913,2.40948,1.16516,0.00120265,0.00120265,0.00120265
10,20.8128,1.06295,2.07252,1.14674,0.27779,0.66202,0.3569,0.24185,1.06279,2.30671,1.06416,0.00117435,0.00117435,0.00117435
11,22.5164,1.08469,2.08907,1.17875,0.31372,0.66281,0.36417,0.27462,0.91081,2.19578,1.0063,0.00114606,0.00114606,0.00114606
12,24.1826,1.09139,2.00949,1.18139,0.25655,0.6235,0.358,0.26851,0.89395,2.25455,1.00741,0.00111776,0.00111776,0.00111776
13,26.6784,1.05507,2.01622,1.16559,0.30672,0.6079,0.39753,0.29626,0.90297,2.24288,1.01517,0.00108947,0.00108947,0.00108947
14,28.8004,0.9911,2.00252,1.10109,0.32417,0.61667,0.40137,0.30453,0.87129,2.29314,1.01438,0.00106118,0.00106118,0.00106118
15,30.8885,1.00904,1.98822,1.13421,0.29752,0.61667,0.43053,0.34123,0.83353,2.25082,0.99042,0.00103288,0.00103288,0.00103288
16,33.2433,0.9976,1.90366,1.13793,0.36249,0.56925,0.47373,0.35869,0.85342,2.28327,0.98697,0.00100459,0.00100459,0.00100459
17,34.8812,0.90476,1.82506,1.07587,0.32759,0.66667,0.47771,0.34155,0.96887,2.33027,1.01242,0.000976293,0.000976293,0.000976293
18,36.4619,0.92018,1.80014,1.07933,0.28568,0.78049,0.46107,0.34983,0.90769,2.36323,0.97624,0.000947999,0.000947999,0.000947999
19,38.2769,0.93012,1.82734,1.10091,0.29085,0.8,0.50143,0.38538,0.86668,2.48493,0.9538,0.000919704,0.000919704,0.000919704
20,41.0413,0.93637,1.80367,1.09329,0.32969,0.69523,0.56173,0.42292,0.80545,2.41807,0.943,0.00089141,0.00089141,0.00089141
21,42.7203,0.98204,1.83321,1.1283,0.37729,0.85,0.62577,0.48817,0.76216,2.15693,0.93921,0.000863116,0.000863116,0.000863116
22,44.3333,0.90104,1.69086,1.06196,0.41827,0.83977,0.67563,0.51104,0.79359,1.80986,0.96368,0.000834822,0.000834822,0.000834822
23,46.0301,0.89006,1.60694,1.06149,0.46834,0.82381,0.70334,0.56796,0.76224,1.63971,0.96331,0.000806528,0.000806528,0.000806528
24,47.701,0.82656,1.56076,1.03195,0.58895,0.8018,0.71196,0.5806,0.69433,1.57591,0.93626,0.000778233,0.000778233,0.000778233
25,49.3419,0.82179,1.54763,1.04383,0.69342,0.82977,0.81241,0.64626,0.72396,1.48936,0.92378,0.000749939,0.000749939,0.000749939
26,50.9573,0.87731,1.55656,1.07318,0.68259,0.79859,0.77773,0.62208,0.73151,1.47135,0.9374,0.000721645,0.000721645,0.000721645
27,53.4167,0.81897,1.48196,1.03859,0.67175,0.96634,0.76864,0.63747,0.67161,1.40724,0.93619,0.000693351,0.000693351,0.000693351
28,55.551,0.86814,1.48518,1.0588,0.70738,0.87563,0.79054,0.67301,0.66119,1.37811,0.92834,0.000665057,0.000665057,0.000665057
29,57.2527,0.81112,1.40004,1.02612,0.7069,0.90995,0.82031,0.68738,0.66287,1.34805,0.93299,0.000636762,0.000636762,0.000636762
30,58.8637,0.79801,1.41399,1.03063,0.74095,0.88333,0.82681,0.6892,0.66612,1.34002,0.93633,0.000608468,0.000608468,0.000608468
